describle,evaluate,introduce,movie_name,serial_number,star
传说的开始。,422858人评价,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...,指环王1：魔戒再现,54,9.0
海豚的微笑，是世界上最高明的伪装。,234078人评价,导演:路易·西霍尤斯LouiePsihoyos主演:RichardO'Barry/路易·西霍...,海豚湾,55,9.3
人生不能像做菜，把所有的料都准备好了才下锅。,289812人评价,导演:李安AngLee主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...,饮食男女,56,9.1
动物版《哈姆雷特》。,402324人评价,导演:RogerAllers/罗伯·明可夫RobMinkoff主演:乔纳森·泰勒·托马...,狮子王,57,9.0
爱是一切逻辑和原由。,412184人评价,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/艾德·哈...,美丽心灵,58,8.9
暗恋的极致。,512720人评价,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...,情书,59,8.9
音乐能化解仇恨。,271915人评价,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...,钢琴家,60,9.1
在时间之河里感受溺水之苦。,537774人评价,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett/...,本杰明·巴顿奇事,61,8.8
往事如烟，无处祭奠。,233049人评价,导演:赛尔乔·莱翁内SergioLeone主演:罗伯特·德尼罗RobertDeNiro...,美国往事,62,9.1
你以为你以为的就是你以为的。,570698人评价,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas/阿...,看不见的客人,63,8.8
视觉革命。,402277人评价,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski主...,黑客帝国,64,8.9
奔跑的孩子是天使。,199626人评价,导演:马基德·马基迪MajidMajidi主演:法拉赫阿米尔·哈什米安AmirFa...,小鞋子,65,9.2
美丽无罪。,508809人评价,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...,西西里的美丽传说,66,8.8
经典之作，历久弥新。,166342人评价,导演:万籁鸣LaimingWan/唐澄ChengTang主演:邱岳峰YuefengQiu/...,大闹天宫,67,9.3
童话世界的开端。,421555人评价,导演:ChrisColumbus主演:DanielRadcliffe/EmmaWatson/RupertGrint,哈利·波特与魔法石,68,8.9
你给我翻译翻译，神马叫做TMD的惊喜。,877061人评价,导演:姜文WenJiang主演:姜文WenJiang/葛优YouGe/周润发Yun-F...,让子弹飞,69,8.7
美利坚精神输出大片No1.,342858人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,拯救大兵瑞恩,70,8.9
孪生蝙蝠侠大战克隆金刚狼。,467042人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...,致命魔术,71,8.8
警察抓小偷，老鼠玩死猫。,560784人评价,导演:大卫·芬奇DavidFincher主演:摩根·弗里曼MorganFreeman/布...,七宗罪,72,8.8
以戏谑来戏谑戏谑。,414359人评价,导演:中岛哲也TetsuyaNakashima主演:中谷美纪MikiNakatani/瑛太E...,被嫌弃的松子的一生,73,8.9
用音乐化解仇恨，让歌声串起美好。,315471人评价,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews/克...,音乐之声,74,9.0
故事的高级讲法。,460598人评价,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...,低俗小说,75,8.8
法式小清新。 ,623312人评价,导演:让-皮埃尔·热内Jean-PierreJeunet主演:奥黛丽·塔图AudreyTau...,天使爱美丽,76,8.7
安东尼·霍普金斯的顶级表演。,466674人评价,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster/安...,沉默的羔羊,77,8.8
史诗大片的典范。,370102人评价,导演:梅尔·吉布森MelGibson主演:梅尔·吉布森MelGibson/苏菲·玛...,勇敢的心,78,8.9
骗子大师和执著警探的你追我跑故事。 ,359300人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...,猫鼠游戏,79,8.9
人的命运被自己瞬间的抉择改变。,513635人评价,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber主...,蝴蝶效应,80,8.7
浪漫忧郁的成人童话。,637972人评价,导演:蒂姆·波顿TimBurton主演:约翰尼·德普JohnnyDepp/薇诺娜·...,剪刀手爱德华,81,8.7
